# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.822
# max_sidebands: 5
# timestamp: 2025-12-16 13:43:10
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: CPR
# sweep_parameter: v_tau
# sweep_values: [0.822, 0.934]
# outer_parallel: 4
v_tau,Phase (rad),Current (nA)
0.822,0.0,-0.00033233536283597585
0.822,0.04807692307692308,0.5154431569845471
0.822,0.09615384615384616,1.0341634652965428
0.822,0.14423076923076925,1.548850549687779
0.822,0.19230769230769232,2.0640838808701645
0.822,0.2403846153846154,2.577258028410717
0.822,0.2884615384615385,3.090483179296479
0.822,0.33653846153846156,3.5939636315567234
0.822,0.38461538461538464,4.094475535828157
0.822,0.4326923076923077,4.583083156496484
0.822,0.4807692307692308,5.071975419543415
0.822,0.5288461538461539,5.552598174233968
0.822,0.576923076923077,6.022323949584563
0.822,0.625,6.485167891456797
0.822,0.6730769230769231,6.948490988995022
0.822,0.7211538461538461,7.385363587672706
0.822,0.7692307692307693,7.828524391602365
0.822,0.8173076923076924,8.242132616306955
0.822,0.8653846153846154,8.656436554193244
0.822,0.9134615384615385,9.061766231183446
0.822,0.9615384615384616,9.4505049059466
0.822,1.0096153846153846,9.822565233767307
0.822,1.0576923076923077,10.176411866817293
0.822,1.1057692307692308,10.514836334173928
0.822,1.153846153846154,10.850019268879134
0.822,1.201923076923077,11.16579837780071
0.822,1.25,11.445589784891917
0.822,1.27,11.576478698949806
0.822,1.29,11.67707224878329
0.822,1.31,11.796332525649044
0.822,1.33,11.89694145363046
0.822,1.35,12.002502875751865
0.822,1.37,12.102014350306964
0.822,1.3900000000000001,12.195948519927406
0.822,1.4100000000000001,12.291140986934593
0.822,1.4300000000000002,12.375864681359413
0.822,1.4500000000000002,12.464057768505558
0.822,1.4700000000000002,12.541786445298005
0.822,1.4900000000000002,12.62042142866165
0.822,1.5100000000000002,12.692968085949245
0.822,1.53,12.759416781615581
0.822,1.55,12.82838417878768
0.822,1.57,12.881204249971304
0.822,1.59,12.947049732728534
0.822,1.61,12.98608765368106
0.822,1.6300000000000001,13.047353343572887
0.822,1.6500000000000001,13.074178590728243
0.822,1.6700000000000002,13.127572213109143
0.822,1.6900000000000002,13.145722781443588
0.822,1.7100000000000002,13.186762340369707
0.822,1.7300000000000002,13.199895065151042
0.822,1.7500000000000002,13.22493015279377
0.822,1.7700000000000002,13.235366875076355
0.822,1.79,13.242658423427939
0.822,1.81,13.249957035939245
0.822,1.83,13.240407403405962
0.822,1.85,13.24230592873603
0.822,1.87,13.217604496268178
0.822,1.8900000000000001,13.21186333518672
0.822,1.9100000000000001,13.174126128879955
0.822,1.9300000000000002,13.158073660513072
0.822,1.9500000000000002,13.10831387967867
0.822,1.9700000000000002,13.080640802398378
0.822,1.9900000000000002,13.0201325456539
0.822,2.0100000000000002,12.978683899676605
0.822,2.0300000000000002,12.909286854317516
0.822,2.0500000000000003,12.850585471158178
0.822,2.0700000000000003,12.77607392947302
0.822,2.0900000000000003,12.695558883972009
0.822,2.1100000000000003,12.619519941443578
0.822,2.1300000000000003,12.516105789634402
0.822,2.1500000000000004,12.432586046320605
0.822,2.1700000000000004,12.319711731056511
0.822,2.1900000000000004,12.209593496655302
0.822,2.2100000000000004,12.102286612440972
0.822,2.2300000000000004,11.966970489081255
0.822,2.2500000000000004,11.8404070168131
0.822,2.2700000000000005,11.711922562371356
0.822,2.2900000000000005,11.559275337494789
0.822,2.3100000000000005,11.405923765231904
0.822,2.33,11.257933001000888
0.822,2.3500000000000005,11.096145387576984
0.822,2.37,10.918310481211185
0.822,2.3900000000000006,10.73642128766547
0.822,2.41,10.55494798893315
0.822,2.4300000000000006,10.36928594195435
0.822,2.45,10.174691628630711
0.822,2.4700000000000006,9.97022827897199
0.822,2.49,9.757439414233904
0.822,2.5100000000000007,9.537972342520597
0.822,2.5300000000000002,9.312491264931037
0.822,2.5500000000000007,9.08134264607401
0.822,2.5700000000000003,8.844547958951296
0.822,2.5900000000000007,8.602040039312909
0.822,2.6100000000000003,8.353389232791564
0.822,2.630000000000001,8.097441915995203
0.822,2.6500000000000004,7.832984432218854
0.822,2.670000000000001,7.560614035690286
0.822,2.6900000000000004,7.284610294951633
0.822,2.710000000000001,7.008891830948575
0.822,2.7300000000000004,6.727699368691457
0.822,2.7500000000000004,6.432745230843167
0.822,2.7700000000000005,6.135342399996709
0.822,2.7900000000000005,5.840659315441558
0.822,2.8100000000000005,5.530596262881549
0.822,2.8300000000000005,5.222677373435583
0.822,2.8500000000000005,4.909014208550531
0.822,2.8700000000000006,4.589380762421899
0.822,2.8900000000000006,4.268512634602535
0.822,2.9100000000000006,3.942732002395902
0.822,2.9300000000000006,3.6119336852651402
0.822,2.9500000000000006,3.28294466285768
0.822,2.9700000000000006,2.945274143721995
0.822,2.9900000000000007,2.6076404141509664
0.822,3.0100000000000007,2.26976658659202
