# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.822
# max_sidebands: 5
# timestamp: 2025-12-16 17:47:41
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: CPR
# sweep_parameter: v_tau
# sweep_values: [0.338, 0.822, 0.882, 0.934, 1.0]
# outer_parallel: 4
v_tau,Phase (rad),Current (nA)
0.338,0.0,0.0005457864851956139
0.338,0.04807692307692308,0.048202334095165285
0.338,0.09615384615384616,0.09574442670498047
0.338,0.14423076923076925,0.14307146909624677
0.338,0.19230769230769232,0.19008443142437842
0.338,0.2403846153846154,0.23668561914148512
0.338,0.2884615384615385,0.2827787164674573
0.338,0.33653846153846156,0.32825162835682026
0.338,0.38461538461538464,0.37300236933480413
0.338,0.4326923076923077,0.4169388191576621
0.338,0.4807692307692308,0.45999789164472177
0.338,0.5288461538461539,0.5020841869890932
0.338,0.576923076923077,0.5430543528225322
0.338,0.625,0.5828356796138864
0.338,0.6730769230769231,0.6213565043905106
0.338,0.7211538461538461,0.6584893731856082
0.338,0.7692307692307693,0.6941151974900526
0.338,0.8173076923076924,0.7281782964470271
0.338,0.8653846153846154,0.7605720144880801
0.338,0.9134615384615385,0.7912230807775972
0.338,0.9615384615384616,0.8201229848759369
0.338,1.0096153846153846,0.8472211253085163
0.338,1.0576923076923077,0.872500124012689
0.338,1.1057692307692308,0.895918353789945
0.338,1.153846153846154,0.9173557171060038
0.338,1.201923076923077,0.9366764047635888
0.338,1.25,0.9537294696355517
0.338,1.27,0.9601296936959469
0.338,1.29,0.966119462455066
0.338,1.31,0.9717085736789005
0.338,1.33,0.976911813519574
0.338,1.35,0.9817182656737865
0.338,1.37,0.9861659194987683
0.338,1.3900000000000001,0.9902464196142535
0.338,1.4100000000000001,0.9939740735877414
0.338,1.4300000000000002,0.9973598580981602
0.338,1.4500000000000002,1.0003855076611536
0.338,1.4700000000000002,1.003056398589808
0.338,1.4900000000000002,1.0053350133146024
0.338,1.5100000000000002,1.0072074937792737
0.338,1.53,1.008657142830374
0.338,1.55,1.0096531544817555
0.338,1.57,1.010167843061158
0.338,1.59,1.0102376567424751
0.338,1.61,1.0098341863639375
0.338,1.6300000000000001,1.0089907449335305
0.338,1.6500000000000001,1.007735834603271
0.338,1.6700000000000002,1.0060978368005977
0.338,1.6900000000000002,1.0040978265413816
0.338,1.7100000000000002,1.0017718294132507
0.338,1.7300000000000002,0.9991192817750789
0.338,1.7500000000000002,0.9961222946027147
0.338,1.7700000000000002,0.9927653530325581
0.338,1.79,0.9890133468487928
0.338,1.81,0.9848263711811561
0.338,1.83,0.9801698849948506
0.338,1.85,0.9750334783553241
0.338,1.87,0.969416886195124
0.338,1.8900000000000001,0.9633409927535597
0.338,1.9100000000000001,0.9568346187958521
0.338,1.9300000000000002,0.9499480207841133
0.338,1.9500000000000002,0.9427269820231184
0.338,1.9700000000000002,0.9351968758524409
0.338,1.9900000000000002,0.9273762165379249
0.338,2.0100000000000002,0.9192627959101259
0.338,2.0300000000000002,0.9108268389979054
0.338,2.0500000000000003,0.9020334153584841
0.338,2.0700000000000003,0.8928328675791924
0.338,2.0900000000000003,0.8832053228436914
0.338,2.1100000000000003,0.873127622101075
0.338,2.1300000000000003,0.8626093025503648
0.338,2.1500000000000004,0.8516724503338878
0.338,2.1700000000000004,0.8403425546916462
0.338,2.1900000000000004,0.8286756938316201
0.338,2.2100000000000004,0.816708833274863
0.338,2.2300000000000004,0.8044728563094538
0.338,2.2500000000000004,0.7919831837429356
0.338,2.2700000000000005,0.7792309964450385
0.338,2.2900000000000005,0.7662230096466013
0.338,2.3100000000000005,0.7529153995011949
0.338,2.33,0.7392905381063282
0.338,2.3500000000000005,0.7253309350173603
0.338,2.37,0.7110208553075446
0.338,2.3900000000000006,0.6963486893574455
0.338,2.41,0.6813420212387891
0.338,2.4300000000000006,0.6660056712220351
0.338,2.45,0.6503690676560744
0.338,2.4700000000000006,0.6344556722319957
0.338,2.49,0.6182984318982707
