# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.934
# max_sidebands: 5
# timestamp: 2025-12-17 14:55:55
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: CPR
# sweep_parameter: v_tau
# sweep_values: [0.338, 0.822, 0.882, 0.934, 1.0]
# outer_parallel: 4
v_tau,Phase (rad),Current (nA)
0.338,0.0,-0.0005195973805898367
0.338,0.04807692307692308,0.0460472316637009
0.338,0.09615384615384616,0.09250664987531097
0.338,0.14423076923076925,0.1387561725594651
0.338,0.19230769230769232,0.18469349229714188
0.338,0.2403846153846154,0.23021668137931417
0.338,0.2884615384615385,0.2752255094891389
0.338,0.33653846153846156,0.31961972127813476
0.338,0.38461538461538464,0.3633013912383305
0.338,0.4326923076923077,0.40617312576273834
0.338,0.4807692307692308,0.448139329704331
0.338,0.5288461538461539,0.48910676298688677
0.338,0.576923076923077,0.5289833376750565
0.338,0.625,0.5676795053782469
0.338,0.6730769230769231,0.6051071892043666
0.338,0.7211538461538461,0.6411811587029103
0.338,0.7692307692307693,0.6758198780289905
0.338,0.8173076923076924,0.7089437972788667
0.338,0.8653846153846154,0.7404757862475524
0.338,0.9134615384615385,0.7703424802024715
0.338,0.9615384615384616,0.7984747563157827
0.338,1.0096153846153846,0.8248057651474763
0.338,1.0576923076923077,0.8492729227366977
0.338,1.1057692307692308,0.8718162925979329
0.338,1.153846153846154,0.892382442150688
0.338,1.201923076923077,0.9109200816381122
0.338,1.25,0.9273835075846871
0.338,1.27,0.9336113439237478
0.338,1.29,0.9394702923824048
0.338,1.31,0.9449569593413848
0.338,1.33,0.9500699505109489
0.338,1.35,0.9548059936942308
0.338,1.37,0.959164398318736
0.338,1.3900000000000001,0.9631409663992655
0.338,1.4100000000000001,0.9667353379514874
0.338,1.4300000000000002,0.9699443737028101
0.338,1.4500000000000002,0.9727685552192097
0.338,1.4700000000000002,0.97520499914122
0.338,1.4900000000000002,0.9772528383732533
0.338,1.5100000000000002,0.9789102037105164
0.338,1.53,0.980176446109363
0.338,1.55,0.9810508005351992
0.338,1.57,0.9815333633141756
0.338,1.59,0.9816227177907245
0.338,1.61,0.9813189484015882
0.338,1.6300000000000001,0.9806215208644747
0.338,1.6500000000000001,0.9795296526861921
0.338,1.6700000000000002,0.978045197514729
0.338,1.6900000000000002,0.9761670772285473
0.338,1.7100000000000002,0.9738963386522618
0.338,1.7300000000000002,0.9712329153605925
0.338,1.7500000000000002,0.9681780361579023
0.338,1.7700000000000002,0.9647329540847186
0.338,1.79,0.9608982707958071
0.338,1.81,0.9566745201337811
0.338,1.83,0.9520643214277221
0.338,1.85,0.9470682620073902
0.338,1.87,0.9416890162568801
0.338,1.8900000000000001,0.9359274585668024
0.338,1.9100000000000001,0.9297866080400455
0.338,1.9300000000000002,0.9232674399130288
0.338,1.9500000000000002,0.9163741574601412
0.338,1.9700000000000002,0.9091067654632234
0.338,1.9900000000000002,0.901469667441162
0.338,2.0100000000000002,0.8934654501537209
0.338,2.0300000000000002,0.8850968436817187
0.338,2.0500000000000003,0.8763669972276575
0.338,2.0700000000000003,0.8672799085880382
0.338,2.0900000000000003,0.8578377984570461
0.338,2.1100000000000003,0.8480448579087237
0.338,2.1300000000000003,0.837905054536038
0.338,2.1500000000000004,0.8274221538598429
0.338,2.1700000000000004,0.8165995496477162
0.338,2.1900000000000004,0.8054423833960409
0.338,2.2100000000000004,0.7939543620717163
0.338,2.2300000000000004,0.7821397517378458
0.338,2.2500000000000004,0.7700044714274639
0.338,2.2700000000000005,0.7575515958737831
0.338,2.2900000000000005,0.7447871274935556
0.338,2.3100000000000005,0.7317155530043752
0.338,2.33,0.7183427650806108
0.338,2.3500000000000005,0.7046735868128999
0.338,2.37,0.6907135949694275
0.338,2.3900000000000006,0.6764680130194874
0.338,2.41,0.6619432793266811
0.338,2.4300000000000006,0.6471443763500255
0.338,2.45,0.6320778215997933
0.338,2.4700000000000006,0.616749594168291
0.338,2.49,0.6011653830661173
0.338,2.5100000000000007,0.5853320558225551
0.338,2.5300000000000002,0.5692564457223974
0.338,2.5500000000000007,0.5529439541940083
0.338,2.5700000000000003,0.5364019482261849
0.338,2.5900000000000007,0.5196373096954361
0.338,2.6100000000000003,0.5026561451072925
0.338,2.630000000000001,0.4854664631551319
0.338,2.6500000000000004,0.46807412835989515
0.338,2.670000000000001,0.4504869365209598
0.338,2.6900000000000004,0.43271245986899715
0.338,2.710000000000001,0.4147569357599313
0.338,2.7300000000000004,0.39662879329479617
0.338,2.7500000000000004,0.37833476957792345
0.338,2.7700000000000005,0.359883052424263
0.338,2.7900000000000005,0.3412809250466175
0.338,2.8100000000000005,0.32253605950935915
0.338,2.8300000000000005,0.3036562088085577
0.338,2.8500000000000005,0.28464943598814085
0.338,2.8700000000000006,0.26552335146768724
0.338,2.8900000000000006,0.24628587944313016
0.338,2.9100000000000006,0.2269453237371656
0.338,2.9300000000000006,0.2075093426699308
0.338,2.9500000000000006,0.18798625959633286
0.338,2.9700000000000006,0.1683841546734698
0.338,2.9900000000000007,0.14871124751210904
0.338,3.0100000000000007,0.12897549646478593
0.338,3.0300000000000007,0.1091853538179252
0.338,3.0500000000000007,0.08934905774727804
0.338,3.0700000000000007,0.0694747256279581
0.338,3.0900000000000007,0.04957080239320896
0.338,3.1100000000000008,0.02964547010791175
0.338,3.130000000000001,0.00970721333758991
0.338,3.150000000000001,-0.010235841321436357
0.338,3.170000000000001,-0.030175326808764773
0.338,3.1900000000000004,-0.05010285091338455
0.338,3.210000000000001,-0.07001013813389756
0.338,3.2300000000000004,-0.08988892115134794
0.338,3.250000000000001,-0.10973092208705762
0.338,3.270000000000001,-0.12952764705656541
0.338,3.290000000000001,-0.14927115331413626
0.338,3.310000000000001,-0.16895302749415383
0.338,3.330000000000001,-0.18856489037931737
0.338,3.350000000000001,-0.20809920340614513
0.338,3.370000000000001,-0.22754715371755024
0.338,3.3900000000000006,-0.24690092517902834
0.338,3.4100000000000006,-0.2661526725995706
0.338,3.4300000000000006,-0.2852940602288034
0.338,3.4500000000000006,-0.3043171728319911
0.338,3.4700000000000006,-0.323214476133463
0.338,3.4900000000000007,-0.34197778104535587
0.338,3.5100000000000007,-0.36059910174121024
0.338,3.5300000000000007,-0.3790714859109491
0.338,3.5500000000000007,-0.39738662999153634
0.338,3.5700000000000007,-0.4155372896131724
0.338,3.5900000000000007,-0.4335157961687029
0.338,3.6100000000000008,-0.4513146602532114
0.338,3.630000000000001,-0.46892692047486356
0.338,3.650000000000001,-0.48634528588520093
0.338,3.670000000000001,-0.503562211126844
0.338,3.690000000000001,-0.5205708290954584
0.338,3.710000000000001,-0.5373644147779715
0.338,3.730000000000001,-0.5539357917641689
0.338,3.750000000000001,-0.5702785615897956
0.338,3.770000000000001,-0.586385478416994
0.338,3.790000000000001,-0.60225052807843
0.338,3.810000000000001,-0.6178670600511359
0.338,3.830000000000001,-0.6332286967725427
0.338,3.850000000000001,-0.648329453416267
0.338,3.870000000000001,-0.663163091999832
0.338,3.890000000000001,-0.6777235079513648
0.338,3.910000000000001,-0.692004860683521
0.338,3.930000000000001,-0.7060017685407763
0.338,3.950000000000001,-0.7197085207355509
0.338,3.970000000000001,-0.7331186356321238
0.338,3.990000000000001,-0.746228801152938
0.338,4.010000000000002,-0.7590320967322162
0.338,4.030000000000001,-0.7715241116106376
0.338,4.050000000000001,-0.7836996030918361
0.338,4.070000000000001,-0.7955547830089001
0.338,4.090000000000002,-0.8070832645566546
0.338,4.110000000000001,-0.8182820501568079
0.338,4.130000000000001,-0.829146688005528
0.338,4.150000000000001,-0.8396715233019704
0.338,4.170000000000002,-0.8498536506450887
0.338,4.190000000000001,-0.8596892305268752
0.338,4.210000000000001,-0.8691739557014821
0.338,4.230000000000001,-0.8783047705851953
0.338,4.250000000000001,-0.8870781199100538
0.338,4.270000000000001,-0.8954897613577328
0.338,4.290000000000001,-0.9035380719573785
0.338,4.3100000000000005,-0.9112187150976867
0.338,4.330000000000001,-0.9185299036489485
0.338,4.350000000000001,-0.9254684318309923
0.338,4.370000000000001,-0.9320312569312904
0.338,4.390000000000001,-0.9382169866690439
0.338,4.410000000000001,-0.94402244325316
0.338,4.4300000000000015,-0.9494465860594831
0.338,4.450000000000001,-0.9544870638454279
0.338,4.470000000000001,-0.9591417109100504
0.338,4.490000000000001,-0.9634090726560657
0.338,4.510000000000002,-0.9672880156279454
0.338,4.530000000000001,-0.9707779361456631
0.338,4.550000000000001,-0.9738769339374884
