# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.822
# max_sidebands: 5
# timestamp: 2025-12-16 17:33:18
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: CPR
# sweep_parameter: v_tau
# sweep_values: [0.338, 0.822, 0.882, 0.934, 1.0]
# outer_parallel: 4
v_tau,Phase (rad),Current (nA)
0.338,0.0,-0.0003220864473814523
0.338,0.04807692307692308,0.041194800037759556
0.338,0.09615384615384616,0.08263409019330857
0.338,0.14423076923076925,0.12392267364345244
0.338,0.19230769230769232,0.16495886406195323
0.338,0.2403846153846154,0.2055475312676342
0.338,0.2884615384615385,0.24541578938059458
0.338,0.33653846153846156,0.28445201561161665
0.338,0.38461538461538464,0.3230433483186305
0.338,0.4326923076923077,0.36159584014239876
0.338,0.4807692307692308,0.39922830951290705
0.338,0.5288461538461539,0.434735492085425
0.338,0.576923076923077,0.4695976442236539
0.338,0.625,0.5049170456755272
0.338,0.6730769230769231,0.5375169007836901
0.338,0.7211538461538461,0.5684902315720306
0.338,0.7692307692307693,0.6004691558340046
0.338,0.8173076923076924,0.6286387561980182
0.338,0.8653846153846154,0.6563323153276085
0.338,0.9134615384615385,0.6836927032145722
0.338,0.9615384615384616,0.7067253251883474
0.338,1.0096153846153846,0.731588527614803
0.338,1.0576923076923077,0.7517023932678765
0.338,1.1057692307692308,0.77217827701464
0.338,1.153846153846154,0.7902087261309195
0.338,1.201923076923077,0.8057251368687416
0.338,1.25,0.8213877479323143
0.338,1.27,0.8257513880461844
0.338,1.29,0.830171486839742
0.338,1.31,0.8355030710521153
0.338,1.33,0.8410726536588669
0.338,1.35,0.8454840108953136
0.338,1.37,0.8483696336468153
0.338,1.3900000000000001,0.8508501943075423
0.338,1.4100000000000001,0.8541439923736796
0.338,1.4300000000000002,0.8580183952071603
