# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.934
# max_sidebands: 5
# timestamp: 2025-12-17 16:26:18
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: CPR
# sweep_parameter: v_tau
# sweep_values: [0.338, 0.822, 0.882, 0.934, 1.0]
# outer_parallel: 4
v_tau,Phase (rad),Current (nA)
0.338,0.0,0.00012404050690585487
0.338,0.04807692307692308,0.04475541040495646
0.338,0.09615384615384616,0.08929889403954075
0.338,0.14423076923076925,0.1336671477166978
0.338,0.19230769230769232,0.177773581275083
0.338,0.2403846153846154,0.22153306734479825
0.338,0.2884615384615385,0.2648566572456699
0.338,0.33653846153846156,0.30764643361284716
0.338,0.38461538461538464,0.34978889328828944
0.338,0.4326923076923077,0.39116268390610354
0.338,0.4807692307692308,0.43166664215634154
0.338,0.5288461538461539,0.471260879054716
0.338,0.576923076923077,0.5099657011807616
0.338,0.625,0.5477765927500888
0.338,0.6730769230769231,0.5845256798054488
0.338,0.7211538461538461,0.6198980726377992
0.338,0.7692307692307693,0.6537219441746371
0.338,0.8173076923076924,0.6862290474066401
0.338,0.8653846153846154,0.7177021296623171
0.338,0.9134615384615385,0.7477999884766465
0.338,0.9615384615384616,0.7758588070255401
0.338,1.0096153846153846,0.8020885628902593
0.338,1.0576923076923077,0.8272123387161342
0.338,1.1057692307692308,0.8506653222444561
0.338,1.153846153846154,0.8714881177373253
0.338,1.201923076923077,0.890593572598605
0.338,1.25,0.908478300423868
0.338,1.27,0.9151605386592613
0.338,1.29,0.921273522598469
0.338,1.31,0.9269117756427611
0.338,1.33,0.9322648151766898
0.338,1.35,0.9374923398011218
0.338,1.37,0.9426070918979971
0.338,1.3900000000000001,0.9474481763504071
0.338,1.4100000000000001,0.9517847409692777
0.338,1.4300000000000002,0.9554838895191832
0.338,1.4500000000000002,0.958614864700474
0.338,1.4700000000000002,0.9614058752902488
0.338,1.4900000000000002,0.9640735921770875
0.338,1.5100000000000002,0.9666402239970885
0.338,1.53,0.968899817349514
0.338,1.55,0.9705642885349479
0.338,1.57,0.9714991570087947
0.338,1.59,0.9718441589530379
0.338,1.61,0.971907422523112
0.338,1.6300000000000001,0.9719150971346604
0.338,1.6500000000000001,0.9718055248640052
0.338,1.6700000000000002,0.9712815601183149
0.338,1.6900000000000002,0.970063164239833
0.338,1.7100000000000002,0.9681505282280646
0.338,1.7300000000000002,0.9658374142660905
0.338,1.7500000000000002,0.9634539340771192
0.338,1.7700000000000002,0.961065869820364
0.338,1.79,0.9583927463423886
0.338,1.81,0.9550551888979982
0.338,1.83,0.9509171568162226
0.338,1.85,0.9462119863106342
0.338,1.87,0.9413225920176659
0.338,1.8900000000000001,0.9364143459337095
0.338,1.9100000000000001,0.9312751096663573
0.338,1.9300000000000002,0.9255154171450065
0.338,1.9500000000000002,0.918951028217031
0.338,1.9700000000000002,0.9118011837026614
0.338,1.9900000000000002,0.9044899313841377
0.338,2.0100000000000002,0.897251178904304
0.338,2.0300000000000002,0.8899156620391097
0.338,2.0500000000000003,0.8820642769607382
0.338,2.0700000000000003,0.8734367332290404
0.338,2.0900000000000003,0.8641658341581062
0.338,2.1100000000000003,0.8546328565691953
0.338,2.1300000000000003,0.8450919464032745
0.338,2.1500000000000004,0.8354203859413845
0.338,2.1700000000000004,0.8252404761301491
0.338,2.1900000000000004,0.8142927388847432
0.338,2.2100000000000004,0.8026879859224803
0.338,2.2300000000000004,0.790814701508442
0.338,2.2500000000000004,0.7789977132006464
0.338,2.2700000000000005,0.7672149285273151
0.338,2.2900000000000005,0.7551481993864555
0.338,2.3100000000000005,0.7424716673743126
0.338,2.33,0.7291402239045234
0.338,2.3500000000000005,0.715394754688781
0.338,2.37,0.7015313953691863
