# Calculation Metadata
# N_SC: 1
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.842
# max_sidebands: 20
# timestamp: 2025-10-22 19:09:03
# common_timestamp: 20251022_184223
# disorder_type: none
# calculation: DC_IV_2D
# duration: 1600.02290558815
# B_points: 21
# B_max: 2.0
# Vbias_points: 501
# outer_parallel_n: 1
Magnetic Field,Bias Voltage (meV),Current (nA),SidebandN
0.0,0.03,0.011139603890975819,20
0.0,0.033,0.010681041151085537,20
0.0,0.036000000000000004,0.010626309857070665,20
0.0,0.039,0.010982091687737242,20
0.0,0.042,0.01195609955742283,20
0.0,0.045000000000000005,0.013388603397910665,20
0.0,0.048,0.016089308096339426,20
0.0,0.051000000000000004,0.01969721917490499,20
0.0,0.054,0.024215990930431135,20
0.0,0.056999999999999995,0.02961604942297787,20
0.0,0.06,0.038784622227724504,20
0.0,0.063,0.048071082761743066,20
0.0,0.066,0.059129425042719216,20
0.0,0.069,0.07286854311782025,20
0.0,0.07200000000000001,0.08279462306868467,20
0.0,0.075,0.09947775343731359,20
0.0,0.078,0.1233820668009839,20
0.0,0.081,0.1450545982701665,20
0.0,0.084,0.16171299651877782,20
0.0,0.08700000000000001,0.18909823016134877,20
0.0,0.09000000000000001,0.22625922466083484,20
0.0,0.093,0.2620991227179611,20
0.0,0.096,0.28252046022949756,20
0.0,0.099,0.29440069631607896,20
0.0,0.102,0.3232516702179029,20
0.0,0.105,0.36408668401722427,20
0.0,0.108,0.41220717359272263,20
0.0,0.111,0.46410404048417203,20
0.0,0.11399999999999999,0.5109102664401909,20
0.0,0.11699999999999999,0.5411900898247262,20
0.0,0.12,0.5551074052405648,20
0.0,0.123,0.5865319904522843,20
0.0,0.126,0.6297503183911174,20
0.0,0.129,0.6827806242111887,20
0.0,0.132,0.7455926994882471,20
0.0,0.135,0.8180156904196494,20
0.0,0.13799999999999998,0.8983314203700323,20
0.0,0.141,0.9807974114468442,20
0.0,0.144,1.0517098008367942,20
0.0,0.147,1.0891147903215381,20
0.0,0.15,1.0919129029672623,20
0.0,0.153,1.1078518080781141,20
0.0,0.156,1.1361387658085862,20
0.0,0.159,1.1720480536382543,20
0.0,0.162,1.2143093164594163,20
0.0,0.165,1.2625146756838155,20
0.0,0.168,1.3166107288211972,20
0.0,0.171,1.3767123512368262,20
0.0,0.174,1.442997243292146,20
0.0,0.177,1.515609089537303,20
0.0,0.18,1.5945272485936275,20
0.0,0.183,1.6793557693387122,20
0.0,0.186,1.768958326986244,20
