# Calculation Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 15
# timestamp: 2025-09-12 06:21:20
# common_timestamp: 20250912_054549
# disorder_type: from_file
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: DC_IV
# duration: 2131.4809675216675
# Vbias_points: 300
Bias Voltage (meV),Current (nA),SidebandN
0.003,0.0016484580397885971,60
0.011,0.018806446152759965,42
0.019,0.027692203210133368,40
0.027,0.10234614622146518,40
0.029999999999999995,0.11899384782503769,40
0.033,0.18464648334635894,22
0.036,0.2845040976513246,22
0.039,0.27512779695751555,22
0.042,0.36548452722102087,22
0.045,0.5377586369452348,22
0.048,0.6144962027318756,22
0.051,0.7390342257475606,22
0.054,0.7719519971838086,22
0.056999999999999995,0.8370535232305079,22
0.06,0.8886343807050606,12
0.063,0.998575640657105,12
0.066,1.1595733357793845,12
0.069,1.3557938093981052,12
0.072,1.511062859197821,12
0.075,1.6733670519395536,12
0.078,1.8414032273489878,12
0.081,1.9512736670307929,12
0.084,2.064242534755602,12
0.08700000000000001,2.0587258809276516,12
0.09,2.0835160370373735,12
0.093,2.1635187198069312,12
0.096,2.172622936386763,12
0.09899999999999999,2.157469654404149,12
0.102,2.213153051625862,12
0.105,2.2752184715153905,12
0.108,2.3317058949877834,12
0.111,2.4248825883699223,12
0.11399999999999999,2.5549466257253357,12
0.11699999999999999,2.6944012828680948,12
0.12,2.765195974836353,9
0.123,2.7535596110005462,9
0.126,2.726857163115442,9
0.129,2.7275152027620493,9
0.132,2.742599167879471,9
0.13499999999999998,2.7379329082379895,9
0.13799999999999998,2.7740887992872705,9
0.141,2.860257245017046,9
0.144,3.0070994499890036,9
0.147,3.164663344879161,9
0.15,3.2848439761183585,9
0.153,3.3743166705122682,9
0.156,3.409544855685179,9
0.159,3.4534204526709162,9
0.162,3.5543987446308054,9
0.165,3.5767248844327,9
0.168,3.612348973117286,9
0.17099999999999999,3.6526075963160918,9
0.174,3.6988854197437155,9
0.177,3.7828468197837757,9
0.18,3.872296302405806,9
0.183,3.994951387999943,9
0.186,4.061775036871874,9
0.189,4.033041790764105,9
0.192,4.045376823475242,9
0.195,4.151262974410876,9
0.198,4.308235253742551,9
0.20099999999999998,4.414845581224559,9
0.204,4.424445726565901,9
0.207,4.415758763887808,9
0.21,4.4222112327556165,7
0.213,4.434471690337531,7
0.216,4.4333216985350505,7
0.219,4.4162916954048415,7
0.222,4.419213634151515,7
0.22499999999999998,4.436011861564585,7
0.22799999999999998,4.484774464352291,7
0.23099999999999998,4.5184958196893446,7
0.23399999999999999,4.584071241642883,7
0.237,4.65749931305655,7
0.23999999999999996,4.719795111926687,7
0.24299999999999997,4.764321240232873,7
0.24599999999999997,4.780633602957244,7
0.24899999999999997,4.816104127781627,7
0.252,4.90204595929575,7
0.255,5.048996812804922,7
0.258,5.22178616650742,7
0.261,5.33163044369953,7
0.264,5.368357830289131,7
0.267,5.3967777654091345,7
0.27,5.468368318468121,7
0.273,5.558256837083479,7
0.276,5.627298681019384,7
0.27899999999999997,5.647566775703744,7
0.282,5.647756165095154,7
0.285,5.663825078666973,7
0.288,5.723482575234286,7
0.291,5.797703526889637,7
0.294,5.825645551113483,7
0.297,5.771462979199007,7
0.3,5.69845001604822,5
0.303,5.680882959228323,5
0.306,5.691179284073316,5
0.309,5.669096827781716,5
0.312,5.613008251857663,5
0.315,5.553009771152046,5
0.318,5.506018324430536,5
0.321,5.4682154533760885,5
0.324,5.426685238910246,5
0.327,5.386082868162464,5
0.33,5.352269519113894,5
0.333,5.323108396355839,5
0.336,5.310834447365422,5
0.339,5.274378857916147,5
0.342,5.204780912601004,5
0.34500000000000003,5.1313050041287305,5
0.34800000000000003,5.087523584166421,5
0.35100000000000003,5.072942607650035,5
0.35400000000000004,5.066838904702261,5
0.35700000000000004,5.068349755961676,5
0.36000000000000004,5.08748598748475,5
0.37200000000000005,5.181968804116381,5
0.38400000000000006,5.304522830403787,5
0.3960000000000001,5.387393779388917,5
0.40800000000000003,5.375415365670834,5
0.42000000000000004,5.520716900736202,5
0.43200000000000005,5.667071778662018,5
0.44400000000000006,5.728421368623533,5
0.45600000000000007,5.8587659185798575,5
0.46799999999999997,5.979565616198296,5
0.48,6.031558738803984,5
0.492,6.058222130160595,5
0.504,6.024935146071487,5
0.516,5.971439276179775,5
0.528,6.0547851003465905,5
0.54,6.350071403295343,5
0.552,6.566942255131893,5
0.5640000000000001,6.4838470851988435,5
0.5760000000000001,6.262448713454759,5
0.588,5.982246783065293,5
0.6,5.996581723566367,5
0.612,6.161166275755423,5
0.624,6.352426300483381,5
0.636,6.428961360523675,5
0.648,6.387857941143465,5
0.66,6.216963644978629,5
0.672,6.075126232437846,5
0.684,5.948067727947055,5
0.6960000000000001,5.984838696308531,5
0.7080000000000001,6.082868084296635,5
0.7200000000000001,6.183306534240515,5
0.732,6.097519325261192,5
0.744,5.926337873536869,5
0.756,5.809450695198754,5
0.768,5.796087969183498,5
0.78,5.884834558847588,5
0.7919999999999999,6.014537631058799,5
0.8039999999999999,6.1206021211294015,5
0.816,6.191734072612961,5
0.828,6.31908256911801,5
0.84,6.4803541686243,5
0.852,6.571991782326546,5
0.864,6.51404583939703,5
0.876,6.410849964727107,5
0.888,6.300400369678688,5
0.8999999999999999,6.149174715285787,5
