# Calculation Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.934
# B: 0.5
# Vdis: 2.0
# max_sidebands: 15
# timestamp: 2025-12-31 10:54:37
# common_timestamp: 20251231_101155
# disorder_type: from_file
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: DC_IV
# duration: 2561.7404096126556
# Vbias_points: 300
Bias Voltage (meV),Current (nA),SidebandN
0.003,0.0009660289356265431,60
0.011,0.03510815025373388,42
0.019,0.15667112762502422,40
0.027,0.5952013586722154,40
0.029999999999999995,0.6935583738830691,40
0.033,0.5895468378850186,22
0.036,1.0701573900934822,22
0.039,0.892634344626627,22
0.042,1.176163907976744,22
0.045,1.3380668027664508,22
0.048,1.7318507341559461,22
0.051,1.6505274735711217,22
0.054,1.9321043081649614,22
0.056999999999999995,1.660256033154368,22
0.06,1.9984233519435577,12
0.063,2.0312379557462457,12
0.066,2.132811454561784,12
0.069,2.495120478693313,12
0.072,2.7208329037439585,12
0.075,2.763644922154141,12
0.078,2.522611551066035,12
0.081,2.629564111150799,12
0.084,2.8221352774875426,12
0.08700000000000001,3.089358305815962,12
0.09,2.7792051105571387,12
0.093,2.9846771134812884,12
0.096,3.3046872487096803,12
0.09899999999999999,3.2078009270142185,12
0.102,2.991288003268415,12
0.105,3.2138153487205536,12
0.108,3.3436392641712698,12
0.111,3.5186676298124406,12
0.11399999999999999,3.3956956273350136,12
0.11699999999999999,3.4825866265028322,12
0.12,3.757310181081508,9
0.123,3.6062175712638287,9
0.126,3.6530277049438764,9
0.129,3.5704695083757687,9
0.132,3.4622372565791055,9
0.13499999999999998,3.4892641791755383,9
0.13799999999999998,3.561745259936484,9
0.141,3.525384041684756,9
0.144,3.2986333759074524,9
0.147,3.502721363547444,9
0.15,3.5273624609348793,9
0.153,3.37214869236059,9
0.156,3.4177769036365744,9
0.159,3.434670415975601,9
0.162,3.5759142254098597,9
0.165,3.800385277984555,9
0.168,3.9205080952072278,9
0.17099999999999999,3.923575639722891,9
0.174,4.025427491551952,9
0.177,4.112452477251553,9
0.18,4.215723398604606,9
0.183,4.197900989760046,9
0.186,4.2331814775002625,9
0.189,4.355633943514684,9
0.192,4.3831323742778405,9
0.195,4.400332655491913,9
0.198,4.446933914387529,9
0.20099999999999998,4.450087608160435,9
0.204,4.469984813099006,9
0.207,4.527366969822624,9
0.21,4.470242113756395,7
0.213,4.457830783074494,7
0.216,4.38211143389707,7
0.219,4.354015358819938,7
0.222,4.3017266140539,7
0.22499999999999998,4.305622729492613,7
0.22799999999999998,4.302553994597457,7
0.23099999999999998,4.352174899684108,7
0.23399999999999999,4.334489880017521,7
0.237,4.170691208749212,7
0.23999999999999996,4.198625777521238,7
0.24299999999999997,4.333486737501075,7
0.24599999999999997,4.386568705861353,7
0.24899999999999997,4.398849333377816,7
0.252,4.475770577155291,7
0.255,4.404661503637145,7
0.258,4.351428542468032,7
0.261,4.390991710465133,7
0.264,4.3545631348492115,7
0.267,4.4200395127125125,7
0.27,4.326910589191375,7
0.273,4.29958451559882,7
0.276,4.420527786081089,7
0.27899999999999997,4.366293200312548,7
0.282,4.316308463838161,7
0.285,4.233271300674817,7
0.288,4.273687247093077,7
0.291,4.174814420904074,7
0.294,4.052691730586798,7
0.297,3.8474815751050873,7
0.3,3.757974734865896,5
0.303,3.8763288035826413,5
0.306,3.725492942159776,5
0.309,3.7272581866554244,5
0.312,3.700241176922847,5
0.315,3.576551171782126,5
0.318,3.529595985092615,5
0.321,3.4830453097104175,5
0.324,3.415137661353544,5
0.327,3.3454073371116397,5
0.33,3.300324458803025,5
0.333,3.245228331551194,5
0.336,3.188287992319796,5
0.339,3.1045355620208155,5
0.342,3.083372972319821,5
0.34500000000000003,3.0722774766330985,5
0.34800000000000003,3.0767053958975685,5
0.35100000000000003,3.1260475987522094,5
0.35400000000000004,3.2009467134046825,5
0.35700000000000004,3.3188281337404346,5
0.36000000000000004,3.396200688275832,5
0.37200000000000005,3.531681649765229,5
0.38400000000000006,3.311051145092709,5
0.3960000000000001,3.171860907704518,5
0.40800000000000003,3.117528696106865,5
0.42000000000000004,3.479947837061177,5
0.43200000000000005,3.415486210399231,5
0.44400000000000006,3.3776432123800024,5
0.45600000000000007,3.1914967867638167,5
0.46799999999999997,3.1511636065530215,5
0.48,3.193397097283441,5
0.492,3.2499565268489836,5
0.504,3.350612232270862,5
0.516,3.3410610490454773,5
0.528,3.3302905859058436,5
0.54,3.138880562615653,5
0.552,2.9837118234291276,5
0.5640000000000001,2.8584048696420443,5
0.5760000000000001,2.872843862041256,5
0.588,2.9013544400407505,5
0.6,2.9785338425224657,5
0.612,2.935472763782177,5
0.624,2.7099623072185697,5
0.636,2.5878334094631867,5
0.648,2.6977121622171194,5
0.66,2.6936715228844554,5
0.672,2.669712152252592,5
0.684,2.7299895758488453,5
0.6960000000000001,2.679002172541621,5
0.7080000000000001,2.589813885395466,5
0.7200000000000001,2.615573018519771,5
0.732,2.5670530058184586,5
0.744,2.3483364540442366,5
0.756,2.2291061343904737,5
0.768,2.2077013324335995,5
0.78,2.2824281251030514,5
0.7919999999999999,2.352203214382298,5
0.8039999999999999,2.3387081579465767,5
0.816,2.3592337189332793,5
0.828,2.4890532190404264,5
0.84,2.641547786359774,5
0.852,2.5835114029580466,5
0.864,2.7157043368108673,5
0.876,2.6720430765563066,5
0.888,2.5246187241514817,5
0.8999999999999999,2.3117801979891324,5
