# Calculation Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.74
# B: 0.0
# Vdis: 0.0
# max_sidebands: 15
# timestamp: 2025-12-16 12:41:22
# common_timestamp: 20251216_120507
# disorder_type: from_file
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: DC_IV
# duration: 2175.0123913288116
# Vbias_points: 300
Bias Voltage (meV),Current (nA),SidebandN
0.003,-5.74050621198666e-08,60
0.011,0.008710804675246204,42
0.019,0.006144004913811254,40
0.027,0.0048691036667882215,40
0.029999999999999995,0.004527378163163991,40
0.033,0.0043727661885938395,22
0.036,0.0041540745592225595,22
0.039,0.003964137917645571,22
0.042,0.0037990039521534455,22
0.045,0.0036519253276048056,22
0.048,0.0035244146390536876,22
0.051,0.003409577619250839,22
0.054,0.003305811339206605,22
0.056999999999999995,0.0032329481676674453,22
0.06,0.0033159644318716086,12
0.063,0.0033139290103422207,12
0.066,0.0033200708323533118,12
0.069,0.003407438952876807,12
0.072,0.003652310994410173,12
0.075,0.0037924225419817565,12
0.078,0.004062136198550688,12
0.081,0.004589069594023123,12
0.084,0.005181511248046596,12
0.08700000000000001,0.005446816278466092,12
0.09,0.006223531790149331,12
0.093,0.0076086924864150595,12
0.096,0.009852926250955771,12
0.09899999999999999,0.01122819186101156,12
0.102,0.011736388226869425,12
0.105,0.0132591729254267,12
0.108,0.01546255499533437,12
0.111,0.01871304098778313,12
0.11399999999999999,0.023537461263297636,12
0.11699999999999999,0.029640248657039674,12
0.12,0.030709563283951594,9
0.123,0.03172535787828608,9
0.126,0.034155341964398865,9
0.129,0.037597006464023336,9
0.132,0.04220076540352009,9
0.13499999999999998,0.04834268895358708,9
0.13799999999999998,0.056673709845350584,9
0.141,0.06825504270861749,9
0.144,0.08451990637575892,9
0.147,0.10427900211522928,9
0.15,0.10791980784551579,9
0.153,0.10678392240844858,9
0.156,0.10920156741063859,9
0.159,0.11319147554772406,9
