# Calculation Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 200
# timestamp: 2025-09-09 11:09:11
# common_timestamp: 20250909_103659
# disorder_type: none
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: DC_IV
# duration: 1932.5619955062866
# Vbias_points: 300
Bias Voltage (meV),Current (nA),SidebandN
0.003,-2.44477409205922e-05,60
0.011,0.02852162088859817,42
0.019,0.02011749172224822,40
0.027,0.01876210689383712,40
0.029999999999999995,0.020880448530275045,40
0.033,0.0256996480176836,22
0.036,0.03156599502888239,22
0.039,0.04397770118679873,22
0.042,0.055786506176223466,22
0.045,0.07675296970452705,22
0.048,0.10227807533497603,22
0.051,0.12374609731879495,22
0.054,0.1544589961877783,22
0.056999999999999995,0.1952570356650877,22
0.06,0.24356773974711043,12
0.063,0.2821613110813539,12
0.066,0.32695413810328444,12
0.069,0.36982146475226774,12
0.072,0.41893344015960204,12
0.075,0.4915116106567575,12
0.078,0.5671426868567766,12
0.081,0.6283045075008902,12
0.084,0.6893947372801276,12
0.08700000000000001,0.7716796829680989,12
0.09,0.8540789418930449,12
0.093,0.9147824999117975,12
0.096,0.9541240279504978,12
0.09899999999999999,1.003214397549154,12
0.102,1.0837301908530796,12
0.105,1.1805429378084018,12
0.108,1.281052155222237,12
0.111,1.3766058870287647,12
0.11399999999999999,1.4548295286133177,12
0.11699999999999999,1.5133633364170678,12
0.12,1.5623965576713632,9
0.123,1.63868773084304,9
0.126,1.731515178111028,9
0.129,1.836239021065802,9
0.132,1.9498326302896756,9
0.13499999999999998,2.0680924085812498,9
0.13799999999999998,2.1842779491815723,9
0.141,2.2881994558673457,9
0.144,2.36712413782513,9
0.147,2.4124443953370074,9
0.15,2.4376591219717403,9
0.153,2.479004963238663,9
0.156,2.534001287175048,9
0.159,2.5980534650467177,9
0.162,2.669561730267159,9
0.165,2.747709726312934,9
0.168,2.831950800710268,9
0.17099999999999999,2.921811990583459,9
0.174,3.016769541397256,9
0.177,3.1161256226156957,9
0.18,3.2188852924492055,9
0.183,3.323584938865258,9
0.186,3.4280753293556696,9
0.189,3.5292441066468725,9
0.192,3.6226877873756833,9
0.195,3.702518348023298,9
0.198,3.7620999461616087,9
0.20099999999999998,3.8013368471680207,9
0.204,3.839218233994306,9
0.207,3.880477831491561,9
0.21,3.925267111195819,7
0.213,3.9719855050957875,7
0.216,4.021061235440899,7
0.219,4.072355635629056,7
0.222,4.125764815280615,7
0.22499999999999998,4.18121507245965,7
0.22799999999999998,4.238684377602322,7
0.23099999999999998,4.29810749893964,7
0.23399999999999999,4.359500456652304,7
0.237,4.422815544986517,7
0.23999999999999996,4.488067776590166,7
0.24299999999999997,4.5552247248566795,7
0.24599999999999997,4.6243069380029675,7
0.24899999999999997,4.695306198126729,7
0.252,4.768184562854265,7
0.255,4.842917120782995,7
0.258,4.9194755693675765,7
0.261,4.997812637355804,7
0.264,5.077869279251992,7
0.267,5.159501094128558,7
0.27,5.242625653425098,7
0.273,5.326993554807227,7
0.276,5.412392700540687,7
0.27899999999999997,5.498514385338677,7
0.282,5.58484288004994,7
0.285,5.670851525261188,7
0.288,5.755801049249085,7
0.291,5.838649979599703,7
0.294,5.918030148805033,7
0.297,5.992126529101491,7
0.3,6.0592398196309825,5
0.303,6.117509709405795,5
0.306,6.171046944713194,5
0.309,6.221736188608542,5
0.312,6.270478025767359,5
0.315,6.317809881954454,5
0.318,6.3641170785693335,5
0.321,6.409681681132037,5
0.324,6.454612490229369,5
0.327,6.498989563418644,5
0.33,6.5431086310545155,5
0.333,6.586907581034036,5
0.336,6.630358793924151,5
0.339,6.673798994055876,5
0.342,6.716934695659429,5
0.34500000000000003,6.760080576043341,5
0.34800000000000003,6.803038826279493,5
0.35100000000000003,6.846046009570297,5
0.35400000000000004,6.888862984386796,5
0.35700000000000004,6.9318589180952035,5
0.36000000000000004,6.974603483428385,5
0.37200000000000005,7.146285731377938,5
0.38400000000000006,7.318539657527958,5
0.3960000000000001,7.491794205464739,5
0.40800000000000003,7.6667602319717405,5
0.42000000000000004,7.842720010904357,5
0.43200000000000005,8.020093227233666,5
0.44400000000000006,8.19878512389014,5
0.45600000000000007,8.378404326181316,5
0.46799999999999997,8.559413329545393,5
0.48,8.741660979322447,5
0.492,8.924004557754747,5
0.504,9.10707120424491,5
0.516,9.289910178301318,5
0.528,9.470964870895724,5
0.54,9.650846614531536,5
0.552,9.830217374637224,5
0.5640000000000001,10.009194604639012,5
0.5760000000000001,10.187618275189843,5
0.588,10.363687586434132,5
0.6,10.53467623704061,5
0.612,10.692140554118161,5
0.624,10.836420644343136,5
0.636,10.970403047868208,5
0.648,11.097030077983895,5
0.66,11.218146749129339,5
0.672,11.334537994416118,5
0.684,11.445685674258227,5
0.6960000000000001,11.553862433682783,5
0.7080000000000001,11.656853258272047,5
0.7200000000000001,11.757089904614684,5
0.732,11.853717086452107,5
0.744,11.945185977167036,5
0.756,12.034239237465426,5
0.768,12.119642202419959,5
0.78,12.199648127133818,5
0.7919999999999999,12.274912663725576,5
0.8039999999999999,12.346861279726953,5
0.816,12.412982079927314,5
0.828,12.475986894369813,5
0.84,12.534600328432784,5
0.852,12.58837027857452,5
0.864,12.636920535410352,5
0.876,12.679814106276497,5
0.888,12.716494812645765,5
0.8999999999999999,12.746227613586834,5
