# Calculation Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 5
# timestamp: 2025-09-11 16:52:43
# common_timestamp: 20250911_161656
# disorder_type: from_file
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: DC_IV
# duration: 2146.926098585129
# Vbias_points: 300
Bias Voltage (meV),Current (nA),SidebandN
0.003,-5.9625792945667616e-05,60
0.011,0.03252706464334655,42
0.019,0.024632476544440562,40
0.027,0.03657522742185352,40
0.029999999999999995,0.048080269953794524,40
0.033,0.06862628838007226,22
0.036,0.09604113420263118,22
0.039,0.1202629024956223,22
0.042,0.15721599121196997,22
0.045,0.22872463426270853,22
0.048,0.3021575907628195,22
0.051,0.30601368586086974,22
0.054,0.3979890652900682,22
0.056999999999999995,0.5293556568395088,22
0.06,0.5276983822586944,12
0.063,0.6440128076677193,12
0.066,0.7075545085105833,12
0.069,0.737339873047238,12
0.072,0.9753291959246723,12
0.075,0.9804770274924339,12
0.078,1.0486999797430283,12
0.081,1.2706693516595857,12
0.084,1.3153285609017895,12
0.08700000000000001,1.3333590959048647,12
0.09,1.4099537873663333,12
0.093,1.5963559346763778,12
0.096,1.6693030565928513,12
0.09899999999999999,1.6940465041648993,12
0.102,1.813531015854962,12
0.105,1.9263685194420366,12
0.108,2.0875251889266537,12
0.111,2.196362053980825,12
0.11399999999999999,2.1760142348047373,12
0.11699999999999999,2.303778545785178,12
0.12,2.6093565958594342,9
0.123,2.6324474677330216,9
0.126,2.5201953477656027,9
0.129,2.615993105095728,9
0.132,2.887272452934265,9
0.13499999999999998,2.9408810335979614,9
0.13799999999999998,2.7722744034332836,9
0.141,2.7395250389269954,9
0.144,2.881197034425092,9
0.147,3.106297912714889,9
0.15,3.2048272382123786,9
0.153,3.156631061421837,9
0.156,3.159074117188332,9
0.159,3.238676420502822,9
0.162,3.344607190579438,9
0.165,3.431673477767145,9
0.168,3.487193488678326,9
0.17099999999999999,3.481642179500539,9
0.174,3.4526686226755565,9
0.177,3.45444738811439,9
0.18,3.4608307318448706,9
0.183,3.4950346015188627,9
0.186,3.596848948772058,9
0.189,3.7353625960728127,9
0.192,3.870749374545235,9
0.195,3.9841180170385946,9
0.198,4.026271967868269,9
0.20099999999999998,3.9790043658127012,9
0.204,3.901589572010657,9
0.207,3.8561445853626837,9
0.21,3.8963190078101,7
0.213,4.050236888187367,7
0.216,4.306659810273795,7
0.219,4.622768976360855,7
0.222,4.908401822138482,7
0.22499999999999998,5.057854601188625,7
0.22799999999999998,5.029591646512611,7
0.23099999999999998,4.863071785763715,7
0.23399999999999999,4.6476976900114115,7
0.237,4.4650666798444645,7
0.23999999999999996,4.348055025003325,7
0.24299999999999997,4.315212089486985,7
0.24599999999999997,4.36540679668012,7
0.24899999999999997,4.480942818624823,7
0.252,4.636484158849784,7
0.255,4.799923827428911,7
0.258,4.950020216744626,7
0.261,5.086018608294182,7
0.264,5.2065713692417805,7
0.267,5.311257614614067,7
0.27,5.404435887342206,7
0.273,5.4911656949183145,7
0.276,5.58012421699728,7
0.27899999999999997,5.6866879715557985,7
0.282,5.823787358802307,7
0.285,5.992411138948499,7
0.288,6.1713970882830775,7
0.291,6.3331584286697105,7
0.294,6.462134707728803,7
0.297,6.561105485725699,7
0.3,6.640561564426178,5
0.303,6.704606432226625,5
0.306,6.7546997117209875,5
0.309,6.787664682026333,5
0.312,6.801585099519135,5
0.315,6.798942846441637,5
0.318,6.7864870911644255,5
0.321,6.772134943042446,5
0.324,6.761292948699661,5
0.327,6.7501486085236575,5
0.33,6.71995285428238,5
0.333,6.65656539804815,5
0.336,6.567740062038323,5
0.339,6.473271959685855,5
0.342,6.389560781411684,5
0.34500000000000003,6.325462256982273,5
0.34800000000000003,6.28406393820129,5
0.35100000000000003,6.264798791975902,5
0.35400000000000004,6.265585494099342,5
0.35700000000000004,6.280035147081633,5
0.36000000000000004,6.301848690454438,5
0.37200000000000005,6.4394257664792445,5
0.38400000000000006,6.608392993966099,5
0.3960000000000001,6.470109311727965,5
0.40800000000000003,6.2620368290235975,5
0.42000000000000004,6.478557679179178,5
0.43200000000000005,7.159234374412424,5
0.44400000000000006,7.730808475529842,5
0.45600000000000007,7.946348773726588,5
0.46799999999999997,8.091430273609424,5
0.48,8.261008451100098,5
0.492,8.255372264964892,5
0.504,8.129572576471539,5
0.516,8.067443133234104,5
0.528,8.030242201973937,5
0.54,8.251243206403236,5
0.552,8.8448163136928,5
0.5640000000000001,9.517442368299537,5
0.5760000000000001,9.810785090467844,5
0.588,9.683213357743481,5
0.6,9.540211405368286,5
0.612,9.524368793505742,5
0.624,9.596523614753146,5
0.636,9.623371462936099,5
0.648,9.58470387466197,5
0.66,9.433020297270165,5
0.672,9.197289653005155,5
0.684,9.004464878946688,5
0.6960000000000001,8.981247444812148,5
0.7080000000000001,9.178236612337274,5
0.7200000000000001,9.480635687828423,5
0.732,9.625557280936281,5
0.744,9.393297899966504,5
0.756,8.993388174396445,5
0.768,8.74371668484477,5
0.78,8.662247129202518,5
0.7919999999999999,8.783586737425145,5
0.8039999999999999,9.125636558085917,5
0.816,9.325880761179238,5
0.828,9.266653499347902,5
0.84,9.343499117721548,5
0.852,9.667212007029711,5
0.864,9.958141039749114,5
0.876,9.794723800750251,5
0.888,9.537128445520047,5
0.8999999999999999,9.332995966649026,5
