# Calculation Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# B: 1.5
# Vdis: 0.0
# max_sidebands: 15
# timestamp: 2025-10-22 14:59:12
# common_timestamp: 20251022_142015
# disorder_type: from_file
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: DC_IV
# duration: 2337.610627412796
# Vbias_points: 300
Bias Voltage (meV),Current (nA),SidebandN
0.003,0.8546967568463365,60
0.011,1.2145673014730425,42
0.019,1.4716807174097715,40
0.027,1.7337450645774608,40
0.029999999999999995,1.8493798115537516,40
0.033,1.8642271108731927,22
0.036,1.9496363956229745,22
0.039,2.0408635906090775,22
0.042,2.0864184828939827,22
0.045,2.135245752226746,22
0.048,2.2281627959491255,22
0.051,2.332158679952162,22
0.054,2.4133972877634764,22
0.056999999999999995,2.4916708828343466,22
0.06,2.55523582610208,12
0.063,2.607067512562073,12
0.066,2.6604310667488726,12
0.069,2.722458083298265,12
0.072,2.7896124844125922,12
0.075,2.855234204038985,12
0.078,2.914714726312299,12
0.081,2.968598591336465,12
0.084,3.025166858808395,12
0.08700000000000001,3.081184253820408,12
0.09,3.13700402845918,12
0.093,3.1908864777308503,12
0.096,3.2412472062949247,12
0.09899999999999999,3.2882735885802545,12
0.102,3.331126735511383,12
0.105,3.370274514902329,12
0.108,3.405440905339275,12
0.111,3.4404089233347266,12
0.11399999999999999,3.4809941107540143,12
0.11699999999999999,3.519720412104371,12
0.12,3.559163401066886,9
0.123,3.599382855866201,9
0.126,3.63958872590677,9
0.129,3.679782364380806,9
0.132,3.7199220525027985,9
0.13499999999999998,3.759934105389767,9
0.13799999999999998,3.7997232190252284,9
0.141,3.8391793740766884,9
0.144,3.878181497682742,9
0.147,3.916588800238643,9
0.15,3.9541044489672967,9
0.153,3.989950041910255,9
0.156,4.024394418915107,9
0.159,4.057934553698489,9
0.162,4.090871183210392,9
0.165,4.1234006948081605,9
0.168,4.155699637962377,9
0.17099999999999999,4.187882477512061,9
0.174,4.220031866189521,9
0.177,4.252209298836344,9
0.18,4.284461722355139,9
0.183,4.316823352628283,9
0.186,4.3493178990881844,9
0.189,4.381958742047355,9
0.192,4.414746281155741,9
0.195,4.447676906744979,9
0.198,4.480729495061345,9
0.20099999999999998,4.513730500883693,9
0.204,4.5463830147357465,9
0.207,4.578734135350513,9
0.21,4.61149161478954,7
0.213,4.643457765092693,7
0.216,4.675300623933429,7
0.219,4.707065670475288,7
0.222,4.73882784213701,7
0.22499999999999998,4.770640119390785,7
0.22799999999999998,4.802258358230866,7
0.23099999999999998,4.833443491276828,7
0.23399999999999999,4.864167874107732,7
0.237,4.894441300577533,7
0.23999999999999996,4.924281216549941,7
0.24299999999999997,4.953706532294582,7
0.24599999999999997,4.982735741774371,7
0.24899999999999997,5.011386246148612,7
0.252,5.039675132241967,7
0.255,5.067619242744974,7
0.258,5.095231725034208,7
0.261,5.122524151667606,7
0.264,5.14950100219305,7
0.267,5.176163192159655,7
0.27,5.2025233583934085,7
0.273,5.2285939151052,7
0.276,5.254386682217106,7
0.27899999999999997,5.27991305314751,7
0.282,5.305184123374842,7
0.285,5.33021087360853,7
0.288,5.355003788700731,7
0.291,5.379573760705785,7
0.294,5.4039308012408895,7
0.297,5.428080428211869,7
0.3,5.452760738136838,5
0.303,5.476530039444899,5
0.306,5.500079280476005,5
0.309,5.52344134616672,5
0.312,5.546641360072378,5
0.315,5.569698298798431,5
0.318,5.5926269232694485,5
0.321,5.615439575321509,5
0.324,5.638144999893003,5
0.327,5.660746607214541,5
0.33,5.683261651480948,5
0.333,5.70570628676452,5
0.336,5.728087987104915,5
0.339,5.750418166234778,5
0.342,5.77270565222649,5
0.34500000000000003,5.794955591682453,5
0.34800000000000003,5.817173285658374,5
0.35100000000000003,5.839362878883409,5
0.35400000000000004,5.8615332302817515,5
0.35700000000000004,5.8836914316776285,5
0.36000000000000004,5.9058437154364425,5
0.37200000000000005,5.994498863557796,5
0.38400000000000006,6.083491578975111,5
0.3960000000000001,6.173221877126794,5
0.40800000000000003,6.264196942559983,5
0.42000000000000004,6.357044416694783,5
0.43200000000000005,6.452637889267726,5
0.44400000000000006,6.552404498968686,5
0.45600000000000007,6.6585932969453845,5
0.46799999999999997,6.768852901858503,5
0.48,6.880616740325595,5
0.492,6.992832951166621,5
0.504,7.10485662371324,5
0.516,7.216080746420032,5
0.528,7.325997108078883,5
0.54,7.4342878457831585,5
0.552,7.541130231723349,5
0.5640000000000001,7.646616752235386,5
0.5760000000000001,7.7505915136700345,5
0.588,7.853149623160227,5
0.6,7.9548541469757135,5
0.612,8.053988233053602,5
0.624,8.1504133030658,5
0.636,8.244674187129695,5
0.648,8.337075244498749,5
0.66,8.427772897605767,5
0.672,8.51692896043305,5
0.684,8.604590370346514,5
0.6960000000000001,8.690786780554475,5
0.7080000000000001,8.775587782624115,5
0.7200000000000001,8.859058873123384,5
0.732,8.941252452265761,5
0.744,9.022389749065672,5
0.756,9.102542661380713,5
0.768,9.181505159841883,5
0.78,9.259222066495798,5
0.7919999999999999,9.335504191218874,5
0.8039999999999999,9.410239724675357,5
0.816,9.482863835335328,5
0.828,9.553298470423357,5
0.84,9.621547586553463,5
0.852,9.687623748455925,5
0.864,9.75151783334876,5
0.876,9.81323868432789,5
0.888,9.872809718678734,5
0.8999999999999999,9.93042784916502,5
