# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 5
# timestamp: 2025-10-23 21:27:37
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: SPECTRA
# sweep_parameter: v_tau
# sweep_values: [0.882]
# outer_parallel: 4
v_tau,Magnetic Field,Energy (meV),DOS
0.882,0.0,-0.75,0.020747141774377968
0.882,0.0,-0.7485,0.020431609142258247
0.882,0.0,-0.747,0.02023164734872318
0.882,0.0,-0.7455,0.020143506723424253
0.882,0.0,-0.744,0.020164121552565945
0.882,0.0,-0.7425,0.0202918805578929
0.882,0.0,-0.741,0.020527118925747278
0.882,0.0,-0.7395,0.020872534812416722
0.882,0.0,-0.738,0.021333591385166644
0.882,0.0,-0.7365,0.02191902049071327
0.882,0.0,-0.735,0.022641497093050546
0.882,0.0,-0.7335,0.023518538757269277
0.882,0.0,-0.732,0.024573753086601334
0.882,0.0,-0.7305,0.025838424204014835
0.882,0.0,-0.729,0.027353593811389177
0.882,0.0,-0.7275,0.029172421386235728
0.882,0.0,-0.726,0.03136240648279859
0.882,0.0,-0.7245,0.034006197686926344
0.882,0.0,-0.723,0.037197642042024734
0.882,0.0,-0.7215,0.04102606337428188
0.882,0.0,-0.72,0.04553548574351278
0.882,0.0,-0.7185,0.05064024200017584
0.882,0.0,-0.717,0.05599041577230627
0.882,0.0,-0.7155,0.060846500238584685
0.882,0.0,-0.714,0.06415046013679658
0.882,0.0,-0.7125,0.06498401254770886
0.882,0.0,-0.711,0.06318866623085916
0.882,0.0,-0.7095,0.05949567895452994
0.882,0.0,-0.708,0.05499928487215469
0.882,0.0,-0.7065,0.050573948625372046
0.882,0.0,-0.705,0.04667815334310711
0.882,0.0,-0.7035,0.043447086394932305
0.882,0.0,-0.702,0.0408445457447086
0.882,0.0,-0.7005,0.03876986915682639
0.882,0.0,-0.699,0.037112701219052885
0.882,0.0,-0.6975,0.0357750644645774
0.882,0.0,-0.696,0.0346774714562013
0.882,0.0,-0.6945,0.033758400380710846
0.882,0.0,-0.693,0.03297163128837456
0.882,0.0,-0.6915,0.03228322517676224
0.882,0.0,-0.69,0.03166881060153775
0.882,0.0,-0.6885,0.031111336786295893
0.882,0.0,-0.687,0.03059931925691357
0.882,0.0,-0.6855,0.030125389821539856
0.882,0.0,-0.6839999999999999,0.029685263390342154
0.882,0.0,-0.6825,0.029276889213422582
0.882,0.0,-0.681,0.028899812084078894
0.882,0.0,-0.6795,0.028554686601061655
0.882,0.0,-0.6779999999999999,0.028242952820517333
0.882,0.0,-0.6765,0.02796655470277805
0.882,0.0,-0.675,0.027727775780724096
0.882,0.0,-0.6735,0.027529095973151473
0.882,0.0,-0.672,0.027373128825513703
0.882,0.0,-0.6705,0.027262530713837208
0.882,0.0,-0.669,0.027199950248514508
0.882,0.0,-0.6675,0.027187959952419714
0.882,0.0,-0.666,0.0272289490084951
0.882,0.0,-0.6645,0.027324976065155826
0.882,0.0,-0.663,0.027477553402444555
0.882,0.0,-0.6615,0.0276873224966863
0.882,0.0,-0.66,0.0279536023899352
0.882,0.0,-0.6585,0.028273865157299807
0.882,0.0,-0.657,0.02864300131472602
0.882,0.0,-0.6555,0.029052602314119307
0.882,0.0,-0.654,0.02949025511211837
0.882,0.0,-0.6525,0.029939156087859683
0.882,0.0,-0.651,0.03037819242591089
0.882,0.0,-0.6495,0.030782959624308576
0.882,0.0,-0.648,0.03112765488585019
0.882,0.0,-0.6465,0.03138796453065764
0.882,0.0,-0.645,0.031544339230391204
0.882,0.0,-0.6435,0.031584874917578526
0.882,0.0,-0.642,0.031507020953414476
0.882,0.0,-0.6405,0.03131752124065489
0.882,0.0,-0.639,0.031030696422869073
0.882,0.0,-0.6375,0.030665674345332832
0.882,0.0,-0.636,0.03024331995350365
0.882,0.0,-0.6345,0.029783652781821882
0.882,0.0,-0.633,0.029304121176051637
0.882,0.0,-0.6315,0.02881876329720853
0.882,0.0,-0.63,0.028338091273494494
0.882,0.0,-0.6285000000000001,0.027869460972582635
0.882,0.0,-0.627,0.027417652561490823
0.882,0.0,-0.6255,0.02698553602273831
0.882,0.0,-0.624,0.026574651635938827
0.882,0.0,-0.6225,0.026185737601912232
0.882,0.0,-0.621,0.025819098866240564
0.882,0.0,-0.6194999999999999,0.025474906954266935
0.882,0.0,-0.618,0.025153391601944023
0.882,0.0,-0.6165,0.024854982466131294
0.882,0.0,-0.615,0.02458036098278292
0.882,0.0,-0.6134999999999999,0.0243305328507363
0.882,0.0,-0.612,0.024106830813635863
0.882,0.0,-0.6105,0.023910905617235
0.882,0.0,-0.609,0.02374476263559271
0.882,0.0,-0.6074999999999999,0.023610734314093697
0.882,0.0,-0.606,0.02351149456158512
0.882,0.0,-0.6045,0.023450087150375117
0.882,0.0,-0.603,0.02342993313573516
0.882,0.0,-0.6015,0.023454879942233154
0.882,0.0,-0.6,0.02352925945441925
0.882,0.0,-0.5985,0.02365794797796035
0.882,0.0,-0.597,0.023846441912281333
0.882,0.0,-0.5955,0.024100966696252057
0.882,0.0,-0.594,0.02442854332726788
0.882,0.0,-0.5925,0.02483711341327988
0.882,0.0,-0.591,0.025335598590746484
0.882,0.0,-0.5895,0.02593393903712444
0.882,0.0,-0.588,0.026643033984203177
0.882,0.0,-0.5865,0.027474559330192574
0.882,0.0,-0.585,0.028440531070272362
0.882,0.0,-0.5835,0.029552474730234785
0.882,0.0,-0.582,0.030820072061080037
0.882,0.0,-0.5805,0.03224900516336215
0.882,0.0,-0.579,0.03383785372356818
0.882,0.0,-0.5775,0.035573927060079426
0.882,0.0,-0.576,0.037428333523852206
0.882,0.0,-0.5745,0.039351133713845105
0.882,0.0,-0.573,0.04126850620885224
0.882,0.0,-0.5715,0.043084460890116354
0.882,0.0,-0.5700000000000001,0.04468973234788039
0.882,0.0,-0.5685,0.04597865045354531
0.882,0.0,-0.567,0.046870599029067275
0.882,0.0,-0.5655,0.04732906382524038
0.882,0.0,-0.5640000000000001,0.04737026470735925
0.882,0.0,-0.5625,0.04705744647228475
0.882,0.0,-0.5609999999999999,0.04648387246632023
0.882,0.0,-0.5595,0.045751896677122726
0.882,0.0,-0.558,0.044955470030598195
0.882,0.0,-0.5565,0.04416966669631142
0.882,0.0,-0.5549999999999999,0.04344728947227124
0.882,0.0,-0.5535,0.04282026936290133
0.882,0.0,-0.552,0.04230347472341559
0.882,0.0,-0.5505,0.041899143991284096
0.882,0.0,-0.5489999999999999,0.041600963440502285
0.882,0.0,-0.5475,0.041397379921808065
0.882,0.0,-0.546,0.041274268991385504
0.882,0.0,-0.5445,0.04121692282448178
0.882,0.0,-0.5429999999999999,0.041211621153502916
0.882,0.0,-0.5415,0.041246917354224734
0.882,0.0,-0.54,0.041314585562886204
0.882,0.0,-0.5385,0.04141051201573981
0.882,0.0,-0.537,0.041535264707543255
0.882,0.0,-0.5355,0.04169459545779723
0.882,0.0,-0.534,0.04189969515814785
0.882,0.0,-0.5325,0.04216731183388168
0.882,0.0,-0.531,0.04251965585520153
0.882,0.0,-0.5295,0.04298412288870614
0.882,0.0,-0.528,0.043592581321365835
0.882,0.0,-0.5265,0.044380099854796955
0.882,0.0,-0.525,0.045382355514096966
0.882,0.0,-0.5235,0.046630819276741856
0.882,0.0,-0.522,0.04814434420380717
0.882,0.0,-0.5205,0.04991497841934885
0.882,0.0,-0.519,0.05188694584984959
0.882,0.0,-0.5175,0.0539303972814815
0.882,0.0,-0.516,0.055819557358172546
0.882,0.0,-0.5145,0.057236511820987455
0.882,0.0,-0.513,0.057827810648109865
0.882,0.0,-0.5115,0.057318901919528854
0.882,0.0,-0.51,0.05563816392385053
0.882,0.0,-0.5085,0.05296395575176342
0.882,0.0,-0.507,0.04965261516989164
0.882,0.0,-0.5055000000000001,0.04610050642113183
0.882,0.0,-0.504,0.04263034595212958
0.882,0.0,-0.5025,0.03944661902525018
0.882,0.0,-0.501,0.03664622308668252
0.882,0.0,-0.4995,0.03425144618603505
0.882,0.0,-0.498,0.03224219870433825
0.882,0.0,-0.4965,0.030579109076323645
0.882,0.0,-0.495,0.029217226710826043
0.882,0.0,-0.4935,0.028113113788015412
0.882,0.0,-0.492,0.027227844770201688
0.882,0.0,-0.4905,0.026527796709596287
0.882,0.0,-0.489,0.025984442804045944
0.882,0.0,-0.4875,0.025573638935078604
0.882,0.0,-0.486,0.025274818867595087
0.882,0.0,-0.4845,0.02507024593438973
0.882,0.0,-0.483,0.02494430882906723
0.882,0.0,-0.4815,0.024882992473360933
0.882,0.0,-0.48,0.024873406299472007
0.882,0.0,-0.4785,0.02490351147421404
0.882,0.0,-0.477,0.024961881100268164
0.882,0.0,-0.4755,0.02503769059792241
0.882,0.0,-0.474,0.025120674964005472
0.882,0.0,-0.4725,0.025201365507892756
0.882,0.0,-0.471,0.025271250610935384
0.882,0.0,-0.4695,0.025323134028449407
0.882,0.0,-0.46799999999999997,0.025351440769202052
0.882,0.0,-0.46649999999999997,0.025352573112793476
0.882,0.0,-0.46499999999999997,0.025325193008567018
0.882,0.0,-0.46349999999999997,0.02527040609168963
0.882,0.0,-0.46199999999999997,0.025191882596424124
0.882,0.0,-0.4605,0.025095802759800112
0.882,0.0,-0.459,0.02499068127312079
0.882,0.0,-0.4575,0.024887122232805592
0.882,0.0,-0.456,0.02479747510347545
0.882,0.0,-0.4545,0.024735415904132058
0.882,0.0,-0.453,0.024715512949194128
0.882,0.0,-0.4515,0.02475275568798618
0.882,0.0,-0.45,0.024861947826244207
0.882,0.0,-0.4485,0.025056989785029793
0.882,0.0,-0.447,0.025349834090911006
0.882,0.0,-0.4455,0.025749025505615693
0.882,0.0,-0.444,0.026257776827704797
0.882,0.0,-0.4425,0.026871417883996288
0.882,0.0,-0.441,0.027574594172669213
0.882,0.0,-0.4395,0.0283388366381215
0.882,0.0,-0.438,0.029121579950169084
0.882,0.0,-0.4365,0.029868318857704013
0.882,0.0,-0.435,0.030518848373861193
0.882,0.0,-0.4335,0.03101746683922942
0.882,0.0,-0.432,0.03132468916996013
0.882,0.0,-0.4305,0.031426367630075176
0.882,0.0,-0.429,0.03133657423141137
0.882,0.0,-0.4275,0.03109336067626929
0.882,0.0,-0.426,0.03074955563716442
0.882,0.0,-0.4245,0.030362528651578752
0.882,0.0,-0.423,0.0299860858693532
0.882,0.0,-0.4215,0.029665857327075072
0.882,0.0,-0.42,0.02943798523631904
0.882,0.0,-0.4185,0.029329871534504018
0.882,0.0,-0.417,0.02936207717827767
0.882,0.0,-0.4155,0.029550408324364816
0.882,0.0,-0.414,0.02990782671795766
0.882,0.0,-0.4125,0.030446017104150822
0.882,0.0,-0.411,0.031176422602621576
0.882,0.0,-0.4095,0.03211096578799766
0.882,0.0,-0.408,0.0332623015777539
0.882,0.0,-0.4065,0.0346436993107796
0.882,0.0,-0.40499999999999997,0.03626843143850524
0.882,0.0,-0.40349999999999997,0.038148622427116835
0.882,0.0,-0.40199999999999997,0.0402934787349351
0.882,0.0,-0.40049999999999997,0.04270664744783931
0.882,0.0,-0.39899999999999997,0.04538286057384961
0.882,0.0,-0.3975,0.04830384843438512
0.882,0.0,-0.396,0.051433900159994786
0.882,0.0,-0.3945,0.05471594456761346
0.882,0.0,-0.393,0.058069359392634
0.882,0.0,-0.3915,0.06139075475681696
0.882,0.0,-0.39,0.06455877314875266
0.882,0.0,-0.3885,0.06744297313730221
0.882,0.0,-0.387,0.06991517752684318
0.882,0.0,-0.3855,0.07186103609414257
0.882,0.0,-0.384,0.07319004741366053
0.882,0.0,-0.3825,0.0738435686771955
0.882,0.0,-0.381,0.0738017550722796
0.882,0.0,-0.3795,0.07308901345056883
0.882,0.0,-0.378,0.07177569563769813
0.882,0.0,-0.3765,0.06997283720611035
0.882,0.0,-0.375,0.06781899373351356
0.882,0.0,-0.3735,0.0654621338484265
0.882,0.0,-0.372,0.0630419317867646
0.882,0.0,-0.3705,0.06067730549151242
0.882,0.0,-0.369,0.058460313354682235
0.882,0.0,-0.3675,0.056456179454417374
0.882,0.0,-0.366,0.05470683772767903
0.882,0.0,-0.3645,0.05323584569304834
0.882,0.0,-0.363,0.052053535219337754
0.882,0.0,-0.3615,0.05116111774220773
0.882,0.0,-0.36,0.05055374146095637
0.882,0.0,-0.3585,0.05022261882668271
0.882,0.0,-0.357,0.0501559604504641
0.882,0.0,-0.3555,0.05033936867004917
0.882,0.0,-0.354,0.05075544339140226
0.882,0.0,-0.3525,0.051383154087425026
0.882,0.0,-0.351,0.05219683831752441
0.882,0.0,-0.3495,0.05316547703407222
0.882,0.0,-0.348,0.05425218224406035
0.882,0.0,-0.3465,0.055414467138197754
0.882,0.0,-0.345,0.0566058652021784
0.882,0.0,-0.34349999999999997,0.05777864154624323
0.882,0.0,-0.34199999999999997,0.058887707425480315
0.882,0.0,-0.34049999999999997,0.05989548269402746
0.882,0.0,-0.33899999999999997,0.06077641421151973
0.882,0.0,-0.33749999999999997,0.06152048763762806
0.882,0.0,-0.33599999999999997,0.062134619226601816
0.882,0.0,-0.33449999999999996,0.06264220642753136
0.882,0.0,-0.333,0.06308077749171857
0.882,0.0,-0.3315,0.06349866336516617
0.882,0.0,-0.33,0.06395215938293974
0.882,0.0,-0.3285,0.06450356464044966
0.882,0.0,-0.327,0.06522169100885203
0.882,0.0,-0.3255,0.0661848662126813
0.882,0.0,-0.324,0.06748751023869266
0.882,0.0,-0.3225,0.06925118325551002
0.882,0.0,-0.321,0.07164071878359374
0.882,0.0,-0.3195,0.07488603092296985
0.882,0.0,-0.318,0.07930892900381467
0.882,0.0,-0.3165,0.08534978436146322
0.882,0.0,-0.315,0.09357265557551338
0.882,0.0,-0.3135,0.1045916497577099
0.882,0.0,-0.312,0.118778449586555
0.882,0.0,-0.3105,0.1355642955621122
0.882,0.0,-0.309,0.15253465724944099
0.882,0.0,-0.3075,0.16594689142636027
0.882,0.0,-0.306,0.1746402625007998
0.882,0.0,-0.3045,0.18442137805667116
0.882,0.0,-0.303,0.2085734666531955
0.882,0.0,-0.3015,0.26671003917668756
0.882,0.0,-0.3,0.26818764341338336
0.882,0.0,-0.2985,0.08213653980207836
0.882,0.0,-0.297,0.034456022685811986
0.882,0.0,-0.2955,0.01954061233335492
0.882,0.0,-0.294,0.012917090099449729
0.882,0.0,-0.2925,0.009336240267057233
0.882,0.0,-0.291,0.007150926723021616
0.882,0.0,-0.2895,0.005703998988594237
0.882,0.0,-0.288,0.004688309071661207
0.882,0.0,-0.2865,0.003943314903018025
0.882,0.0,-0.285,0.0033778596845997354
0.882,0.0,-0.2835,0.0029367553540871195
0.882,0.0,-0.282,0.0025848495973305116
0.882,0.0,-0.28049999999999997,0.0022988027283990468
0.882,0.0,-0.27899999999999997,0.002062574995587612
0.882,0.0,-0.27749999999999997,0.0018648199486167518
0.882,0.0,-0.27599999999999997,0.001697307341159789
0.882,0.0,-0.27449999999999997,0.001553939743206532
0.882,0.0,-0.27299999999999996,0.0014301126651319487
0.882,0.0,-0.27149999999999996,0.0013222915170497983
0.882,0.0,-0.27,0.001227722960639943
0.882,0.0,-0.2685,0.001144233734987795
0.882,0.0,-0.267,0.0010700880581912718
0.882,0.0,-0.2655,0.0010038845092888162
0.882,0.0,-0.264,0.000944480843844809
0.882,0.0,-0.2625,0.0008909376037154047
0.882,0.0,-0.261,0.0008424757440916381
0.882,0.0,-0.2595,0.0007984446056655338
0.882,0.0,-0.258,0.000758296763385075
0.882,0.0,-0.2565,0.0007215688487276049
0.882,0.0,-0.255,0.0006878662003546952
0.882,0.0,-0.2535,0.0006568508870259096
0.882,0.0,-0.252,0.000628232028326241
0.882,0.0,-0.2505,0.000601758023962086
0.882,0.0,-0.249,0.0005772102710177591
0.882,0.0,-0.24749999999999994,0.0005543980065102519
0.882,0.0,-0.246,0.0005331541356853377
0.882,0.0,-0.24449999999999994,0.0005133316900933078
0.882,0.0,-0.243,0.0004948009836419021
0.882,0.0,-0.24149999999999994,0.00047744716769285183
0.882,0.0,-0.24,0.00046116821108863927
0.882,0.0,-0.23849999999999993,0.0004458732083887887
0.882,0.0,-0.237,0.0004314809149753172
0.882,0.0,-0.23550000000000004,0.00041791853033963525
0.882,0.0,-0.23399999999999999,0.00040512064617252567
0.882,0.0,-0.23250000000000004,0.0003930283523760532
0.882,0.0,-0.23099999999999998,0.0003815884629863298
0.882,0.0,-0.22950000000000004,0.00037075284715957395
0.882,0.0,-0.22799999999999998,0.00036047786111436704
0.882,0.0,-0.22650000000000003,0.00035072384127704347
0.882,0.0,-0.22499999999999998,0.0003414546708033768
0.882,0.0,-0.22350000000000003,0.00033263740225845733
0.882,0.0,-0.22199999999999998,0.0003242419183263064
0.882,0.0,-0.22050000000000003,0.0003162406455159019
0.882,0.0,-0.21899999999999997,0.0003086082939973184
0.882,0.0,-0.21750000000000003,0.0003013216305611812
0.882,0.0,-0.21599999999999997,0.0002943592776248128
0.882,0.0,-0.21450000000000002,0.00028770153525112415
0.882,0.0,-0.21299999999999997,0.0002813302241021236
0.882,0.0,-0.21150000000000002,0.00027522854205289045
0.882,0.0,-0.20999999999999996,0.0002693809409635363
0.882,0.0,-0.20850000000000002,0.0002637730124450401
0.882,0.0,-0.20699999999999996,0.00025839138867174536
0.882,0.0,-0.20550000000000002,0.0002532236506646443
0.882,0.0,-0.20399999999999996,0.0002482582483382811
0.882,0.0,-0.2025,0.00024348442641113386
0.882,0.0,-0.20099999999999996,0.00023889215907253484
0.882,0.0,-0.1995,0.00023447209033360526
0.882,0.0,-0.19799999999999995,0.00023021547992716743
0.882,0.0,-0.1965,0.00022611415464440226
0.882,0.0,-0.19499999999999995,0.00022216046383890145
0.882,0.0,-0.1935,0.00021834723920999654
0.882,0.0,-0.19199999999999995,0.00021466775863540274
0.882,0.0,-0.1905,0.00021111571143835975
0.882,0.0,-0.18899999999999995,0.0002076851695823758
